Name,construct,parent,OD,GFP,RFP,GFP/OD,RFP/OD
P21_dh5a,pass,pass,1.5837,89,109,56.19751216,68.82616657
P21_dh5a,pass,pass,1.4109,61,82,43.23481466,58.11893118
P21_dh5a,pass,pass,1.5891,93,107,58.52369266,67.33371091
P21_dh5a,pass,pass,1.557,65,98,41.74694926,62.94155427
P21_dh5a,pass,pass,1.4951,73,124,48.82616547,82.93759615
P21_hns,pass,pass,1.6349,110,129,67.28240259,78.9039085
P21_hns,pass,pass,1.5763,84,260,53.28934847,164.9432215
P21_hns,pass,pass,1.5935,126,158,79.07122686,99.15280828
P21_hns,pass,pass,1.4771,68,157,46.03615192,106.2893508
P21_hns,pass,pass,1.565,93,165,59.42492013,105.4313099
P21_hns,pass,pass,1.4804,74,147,49.98649014,99.29748717
P21_hns,pass,pass,1.4259,73,121,51.19573603,84.85868574
P21_hns,pass,pass,1.5207,80,113,52.60735188,74.30788453
P21_hns,pass,pass,1.4495,74,143,51.05208693,98.65470852
P21_hns,pass,pass,1.522,73,146,47.96320631,95.92641261
P21_hns,pass,pass,1.4581,67,117,45.95020918,80.24141005
P21_hns,pass,pass,1.4775,70,139,47.37732657,94.07783418
P22_dh5a,pass,pass,1.4986,2806,9,1872.414253,6.005605232
P22_dh5a,pass,pass,1.4012,3736,8,2666.286041,5.70939195
P22_dh5a,pass,pass,1.4682,2599,8,1770.194796,5.448848931
P22_dh5a,pass,pass,1.3535,4715,6,3483.561138,4.432951607
P22_dh5a,pass,pass,1.4424,3350,7,2322.518026,4.85302274
P22_dh5a,pass,pass,1.2401,6434,4,5188.291267,3.225546327
P22_dh5a,pass,pass,1.2905,4905,5,3800.852383,3.874467261
P22_dh5a,pass,pass,1.3796,5111,5,3704.697014,3.62423891
P22_dh5a,pass,pass,1.434,4483,8,3126.220363,5.578800558
P22_dh5a,pass,pass,1.4138,4358,7,3082.472768,4.95119536
P22_dh5a,pass,pass,1.4383,9389,8,6527.845373,5.56212195
